url	unique	type
http://www.hikingupward.com/GWNF/BrandywineRecreationArea/	5	Unknown
http://www.hikingupward.com/SNP/SaddlebackMountain/	0.478829271022279	Loop
http://www.hikingupward.com/SNP/BigRun/	0.995892783320961	Loop
http://www.hikingupward.com/SNP/LittleDevilsStairs/	0.988851814245046	Loop
http://www.hikingupward.com/OVH/BansheeReeks/	0.879724838453582	Loop
http://www.hikingupward.com/OVH/StairwayToHeaven/	0.371221641636315	Out & Back
http://www.hikingupward.com/OMH/LittleBennettRegionalPark/	0.988471808785566	Loop
http://www.hikingupward.com/GWNF/FridleyGap/	0.838159445222185	Loop
http://www.hikingupward.com/OVH/ManassasGroveton/	0.941215285538528	Loop
http://www.hikingupward.com/OVH/BRCES/	0.711251720220997	Loop
http://www.hikingupward.com/OVH/JamesRiver/	0.96079123077454	Loop
http://www.hikingupward.com/GWNF/LongMountainRidge/	0.771435542465624	Loop
http://www.hikingupward.com/OVH/HungryMother/	0.868105639847839	Loop
http://www.hikingupward.com/OVH/AshbyHollow/	0.0243170481645784	Out & Back
http://www.hikingupward.com/OWVH/CacaponResortStatePark/	0.805243127340796	Loop
http://www.hikingupward.com/GWNF/KeplerOverlook/	0.0140469727259681	Out & Back
http://www.hikingupward.com/SNP/JonesRunDoylesRiver/	0.994488162850272	Loop
http://www.hikingupward.com/JNF/GreatChannels/	0.00393387176037318	Out & Back
http://www.hikingupward.com/OVH/TrumboHollow/	0.00787686411932693	Out & Back
http://www.hikingupward.com/GWNF/LakeMoomaw/	0.017297035543796	Out & Back
http://www.hikingupward.com/SNP/BroadHollow/	0.986573685947042	Loop
http://www.hikingupward.com/OVH/PleasantGrove/	0.653971303872045	Loop
http://www.hikingupward.com/OMH/SugarloafMountain/	0.91253613323354	Loop
http://www.hikingupward.com/SNP/RobertsonMountain/	0.79717938898934	Loop
http://www.hikingupward.com/GWNF/DobieMountain/	0.5832000148341	Loop
http://www.hikingupward.com/GWNF/FallsRidge/	0.869670266073307	Loop
http://www.hikingupward.com/OMH/WoodstockEquestrianPark/	0.93504938013481	Loop
http://www.hikingupward.com/NCSP/BuckquarterCreekHoldenMill/	0.724856043391298	Loop
http://www.hikingupward.com/GWNF/HighPeak/	0.979637450436181	Loop
http://www.hikingupward.com/GWNF/BuzzardRock/	0.415453309678347	Out & Back
http://www.hikingupward.com/GWNF/HardscrabbleKnob/	0.0026092400445014	Out & Back
http://www.hikingupward.com/OVH/BeardsMountain/	0.994428527150034	Loop
